"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","diffexpressed"
"CD36",7837.28139976886,0.00304463882766485,0.0967092448168503,0.893000801859618,1,"NO"
"LOC103527773",1.68793770184106,-0.00303732013780825,0.115199324616288,0.622744360063346,1,"NO"
"LOC103527772",416.757744373416,0.00914219304139449,0.0895948816868091,0.741118268397714,1,"NO"
"MAGI2",28.9591538908482,0.0074637396245225,0.101362595554903,0.702631376027995,1,"NO"
"PHTF2",760.689073735566,0.0217721749682982,0.105028896327679,0.324187401547514,1,"NO"
"TMEM60",167.326048878279,-0.0461548879025909,0.0933718974455848,0.201866432957422,0.955391033741226,"NO"
"RSBN1L",725.334510907603,0.0183270931451892,0.0796842786623407,0.560992603885883,1,"NO"
"PTPN12",714.768215861826,0.0797652010409702,0.108719148887419,0.0663765040487612,0.812564298473416,"NO"
"GSAP",297.846650340168,-0.00503424689899712,0.0972403080001969,0.822343441049674,1,"NO"
"CCDC146",11.8626289249558,-0.0241040871864256,0.113238031400109,0.202868247190239,0.955391033741226,"NO"
"FGL2",476.286215129118,0.00387088150279896,0.097464994096855,0.861108341650894,1,"NO"
"FAM185A",717.993068088641,0.00847004420965596,0.086970946015392,0.767716729545285,1,"NO"
"LRRC17",20.2896273477297,-0.0149570701050854,0.114665084313948,0.251146827703789,0.980331719780584,"NO"
"ARMC10",172.605900143919,-0.000796034523736924,0.08932908585424,0.976629324881077,1,"NO"
"NAPEPLD",602.389893840985,0.0350894034996319,0.0971923002837237,0.264404436146025,0.990125201604654,"NO"
"PMPCB",1830.45019755562,-0.00313264655416756,0.0742032836476083,0.918039568523063,1,"NO"
"DNAJC2",1034.12239341376,0.0210072484057979,0.0720948983721493,0.504055540499114,1,"NO"
"PSMC2",2671.6670060428,-0.018726135682843,0.0671647561516336,0.536596880168172,1,"NO"
"SLC26A5",1133.50932633902,-0.0207808967401203,0.100170760360854,0.398110009529044,1,"NO"
"RELN",263.202922841338,0.00856441664050493,0.104793469403642,0.615240085105086,1,"NO"
"ORC5",108.614919540008,-0.0729413941436519,0.126962626831781,0.0445273700745058,0.724254777352715,"NO"
"LHFPL3",0.863135040321239,-0.00686242851194869,0.119090639074581,0.278907343209957,0.999515493408667,"NO"
"LOC115598045",170.826030044406,0.0123777953155541,0.0941117333000172,0.631769837988407,1,"NO"
"KMT2E",1875.51814749914,0.162623509841841,0.172631520202617,0.00399947456720222,0.33279498858381,"NO"
"SRPK2",613.644101574092,0.024461322909629,0.086927636760242,0.438971415717253,1,"NO"
"PUS7",297.129705494082,0.0154991180669609,0.0916131703477807,0.578020654681862,1,"NO"
"RINT1",983.97683645161,0.00493176895294732,0.0831584761004831,0.867452565318858,1,"NO"
"EFCAB10",170.828604653532,-0.0409505395313695,0.130557018866225,0.0628705600324016,0.804200003197764,"NO"
"ATXN7L1",474.896557344478,0.0292362924852969,0.0934061179635109,0.344511831509218,1,"NO"
"CDHR3",259.187363259319,-0.0499673355429046,0.123275842396741,0.0740043542174369,0.823148957831282,"NO"
"SYPL1",2.89576913384791,0,0.115359275424889,1,1,"NO"
"LOC115599713",4.78141087675855,0.0145106946225384,0.115210207606312,0.243700017319329,0.976669868904461,"NO"
"NAMPT",8302.96935122118,0.00983387178407467,0.0908544445380814,0.717324761627548,1,"NO"
"CCDC71L",139.895534181196,-0.0147624751487173,0.098877084227301,0.527647633114682,1,"NO"
"PIK3CG",566.935431940251,0.0132059511411668,0.0955558815727044,0.599254229201337,1,"NO"
"PRKAR2B",146.529698414479,0.0159304255251447,0.104872062672697,0.418650552645445,1,"NO"
"HBP1",2442.32409686354,-0.00437352206610654,0.086046944141456,0.87873524771532,1,"NO"
"COG5",524.159733458964,0.0282588945991635,0.07828336981678,0.391462238483382,1,"NO"
"GPR22",0.941971733728691,-0.00715673205101052,0.119116716627068,0.268547334093333,0.990555938467218,"NO"
"DUS4L",391.90210104446,0.0453213236879371,0.0881982644525762,0.213276140953297,0.962472665569764,"NO"
"LOC115598458",8.16731921703572,-0.00562350120139201,0.0994011986281513,0.786904136501909,1,"NO"
"BCAP29",1103.65019916017,0.0129636596220942,0.0685988938718163,0.668949669794833,1,"NO"
"SLC26A4",9.57412812572728,-0.00219433906472719,0.10388981941653,0.894301670502223,1,"NO"
"CBLL1",352.088845086876,0.101756507911016,0.118752017119535,0.0332099983538043,0.670131870302255,"NO"
"SLC26A3",2702.70402032607,-0.00300734664474236,0.115227723041258,0.624567359578174,1,"NO"
"DLD",11086.0289882491,0.0302322996565931,0.0902235720111685,0.348635909334796,1,"NO"
"LAMB1",1380.46150448421,0.0247400273780919,0.099626490421754,0.348595778289145,1,"NO"
"LAMB4",0.762731442888514,0,0.115720081320349,1,1,"NO"
"ERGIC2",2049.3187915573,0.0323576477256821,0.0950650015140335,0.301545708915582,1,"NO"
"LRRK2",471.122055486504,0.071004917820508,0.110541096371332,0.0773976233153852,0.833889111423756,"NO"
"SLC2A13",437.008478759997,0.0450763101097559,0.105226001026038,0.159641248355899,0.920453647722999,"NO"
"C1H12orf40",0.827798717124735,-0.00342509135777217,0.114433195284579,0.617010417354568,1,"NO"
"ABCD2",1994.70229436811,0.0112942221740439,0.0923694914055344,0.671247097946761,1,"NO"
"KIF21A",925.428033279237,-0.0273407208357658,0.101532413372465,0.299980905106585,1,"NO"
"LOC103527837",20711.3811843821,0.00474223974961898,0.113706150741435,0.551266723461335,1,"NO"
"LOC115598332",0.545727854805294,0.00112592857773861,0.119358024289686,0.781260479232397,1,"NO"
"CPNE8",536.373030424619,0.060744271979551,0.136305316999883,0.040590367491487,0.708249287109069,"NO"
"LOC103527744",180.112009542452,0.0160955114267627,0.0766399206810359,0.607417619770893,1,"NO"
"TPRKB",160.49896900498,-0.00750836112861634,0.0734765231450829,0.806029361384826,1,"NO"
"GTSE1",57.198476168395,-0.00440465649595567,0.107098621841438,0.751867522262552,1,"NO"
"TRMU",513.082090616561,0.0116764736321874,0.0809732623516093,0.70228112974211,1,"NO"
"CELSR1",72.9865857108401,0.00248092926874231,0.101271486705639,0.895343386137923,1,"NO"
"LOC103527741",115.262405276974,0.0226845119983031,0.108439836724074,0.270791397818849,0.990555938467218,"NO"
"GRAMD4",1114.11372544194,0.0267855736349619,0.103272799202064,0.288078954694667,1,"NO"
"CERK",720.605543972939,0.0384046431149294,0.107672862800019,0.172671759622264,0.931516202194514,"NO"
"TBC1D22A",886.878659296025,0.0324205533062804,0.0862497516096549,0.334317010559223,1,"NO"
"TAFA5",1.49333598154526,0.0074978695776905,0.112020186785287,0.481456821699836,1,"NO"
"BRD1",689.537886347371,0.0203249585462122,0.0818996072601856,0.520631481942057,1,"NO"
"ZBED4",253.113167925659,0.0215632925532398,0.0922355894620114,0.458800020023561,1,"NO"
"ALG12",410.432123726407,0.0337975690425268,0.099856751487256,0.256671269244606,0.982808574484368,"NO"
"CRELD2",1694.46403395832,0.0163161665417278,0.091433269261636,0.561934569533655,1,"NO"
"PIM3",1117.53782391995,0.0249410118556063,0.103236219627402,0.307827919144913,1,"NO"
"IL17REL",16.2514586146674,-0.0053848144407652,0.110513808461345,0.626928495753109,1,"NO"
"MLC1",1.21154712495188,-0.00645315455413997,0.111937289714724,0.52835141026276,1,"NO"
"MOV10L1",0.524036476095416,-0.000826058392805229,0.117274607526138,0.856205941614652,1,"NO"
"PANX2",0.871518946612598,-0.00332947309097432,0.114725168822661,0.6139085605345,1,"NO"
"TRABD",211.608157129846,0.0238365431875717,0.0965652186427932,0.389887903428217,1,"NO"
"SELENOO",454.027378743854,0.0328707342232225,0.0901508831144398,0.319370700408818,1,"NO"
"TUBGCP6",266.092257878553,-0.029987576639907,0.102300868395919,0.267848291659047,0.990555938467218,"NO"
"HDAC10",171.98959848303,-0.00309917312418135,0.0880195299750075,0.911347684156087,1,"NO"
