"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","diffexpressed"
"TMCC1",658.900515531147,0.0853191415342109,0.116653904261224,0.262999588174043,0.677513346024453,"NO"
"TRH",5.00457680435136,-0.0259270565884004,0.201406263623,0.428622739075638,0.808607659887059,"NO"
"RBSN",1140.108371705,-0.13877367730641,0.0929040762651509,0.053791366848785,0.339433012034691,"NO"
"MRPS25",1783.72307147437,-0.090494102470357,0.0907899635114811,0.201222177569244,0.616205553285527,"NO"
"NR2C2",776.059429279491,-0.102750157687335,0.10998439755211,0.176852016940871,0.582722824373295,"NO"
"FGD5",1189.67784541491,0.0175017790376315,0.118471984463455,0.812822277417669,0.982881775903383,"NO"
"PANK3",1564.95584919287,0.0232867080734062,0.12704728761339,0.749350901082115,0.957164578970082,"NO"
"SLIT3",157.20129495619,0.103614644839795,0.176852097710919,0.137189576987484,0.524741130036379,"NO"
"HSPA9",12816.6008654771,0.0329142048066774,0.0870089505654816,0.634033255400401,0.909561190971115,"NO"
"LOC115599129",2.66855862160819,0.0979498670637754,0.212538457781692,0.0944876806845481,0.440630070597094,"NO"
"CTNNA1",4096.72475044272,0.0223173232307312,0.0967656711879375,0.757132015813216,0.959367434696635,"NO"
"LRRTM2",0.512260831921854,0,0.212752032801784,1,NA,"NO"
"SIL1",316.035548200543,-0.0422891090588967,0.11198784385456,0.570394932546725,0.890698068494222,"NO"
"LOC115599060",87.6279893723023,-0.2307532340838,0.185792400984284,0.0132031260016367,0.170424406750976,"NO"
"LOC115599128",7.01605586690651,-0.0728676948306308,0.210892592704211,0.140755621449264,0.530178921291813,"NO"
"MATR3",4636.36527470137,0.169099376833423,0.0951594275026209,0.0206943402588224,0.216168400413237,"NO"
"PAIP2",2006.35002816158,-0.0401180849685381,0.11829713223845,0.590011233106319,0.89404599776562,"NO"
"SLC23A1",960.858482462432,-0.0647253095181406,0.195590095415696,0.206174531978482,0.618875386035716,"NO"
"MZB1",109.414002257372,0.0354334737199546,0.209954118086933,0.281733899813535,0.697419419395727,"NO"
"LOC103537161",18.5075250042553,-0.0254502980216917,0.182713142283812,0.563426240210615,0.886229335931963,"NO"
"LOC115599063",7.63400274885294,0.00528196087853929,0.166864068397571,0.920426189685219,0.999333238232418,"NO"
"DNAJC18",934.231813580639,-0.070977294938604,0.08934552555748,0.311690172114826,0.726529251156328,"NO"
"ECSCR",103.695768135944,-0.163706679613707,0.154785240661172,0.0505496304369081,0.330934305641088,"NO"
"SMIM33",59.2517788760979,0.0306859589666417,0.194353688549156,0.426318540922217,0.80800365416302,"NO"
"PCDH12",53.1433652016822,-0.135429458009769,0.200609215020204,0.062986761378115,0.367898225877062,"NO"
"DELE1",996.187229643871,-0.19803505645846,0.156101274003309,0.0238645670314571,0.231389444676929,"NO"
"PCDH1",775.661601826833,0.0974420125279042,0.154773991784608,0.188219031372356,0.600594688896288,"NO"
"ARAP3",592.94086973698,-0.0540213408358548,0.120893360055621,0.470475236153368,0.837249434175484,"NO"
"LOC103537165",53.9398099266599,-0.0201620847614371,0.169766304362747,0.698936196486014,0.938245872456768,"NO"
"FCHSD1",407.532135587,0.102911270566186,0.127925796169876,0.184970788870339,0.595182006228185,"NO"
"RELL2",11.0820877823541,-0.00637272297892015,0.180983773616798,0.878889228676713,0.991169263833589,"NO"
"HDAC3",748.65510253521,-0.0188030858453096,0.086563660828989,0.785058404628849,0.97061645292748,"NO"
